content,score,at,cleaning,case_folding,normalisasi,Performa_Aplikasi,Pemesanan_Tiket,Operasional_Perjalanan,Layanan_Akun,_key,Sentimen
". setelah diupgrade ko JD ga bisa melakukan pemesanan tiket statusnya failed terus ,,pdhl aplikasi yg lain berjalan normal..JD yg error sistem KAI atau hp saya?.",3,2026-07-30 22:49:12,setelah diupgrade ko JD ga bisa melakukan pemesanan tiket statusnya failed terus pdhl aplikasi yg lain berjalan normal JD yg error sistem KAI atau hp saya,setelah diupgrade ko jd ga bisa melakukan pemesanan tiket statusnya failed terus pdhl aplikasi yg lain berjalan normal jd yg error sistem kai atau hp saya,setelah diupgrade ko jd tidak bisa melakukan pemesanan tiket statusnya failed terus pdhl aplikasi yang lain berjalan normal jd yang error sistem kai atau hp saya,1,1,0,0,". setelah diupgrade ko JD ga bisa melakukan pemesanan tiket statusnya failed terus ,,pdhl aplikasi yg lain berjalan normal..JD yg error sistem KAI atau hp saya?.||setelah diupgrade ko jd tidak bisa melakukan pemesanan tiket statusnya failed terus pdhl aplikasi yang lain berjalan normal jd yang error sistem kai atau hp saya",negatif
top,5,2026-07-30 18:22:14,top,top,top,0,0,0,0,top||top,netral
"aplikasi sampah, bolak balik bnerin sandi padahal udh ngikutin smua petunjuknya, malahan kluar2 gjls pi",1,2026-07-30 17:42:42,aplikasi sampah bolak balik bnerin sandi padahal udh ngikutin smua petunjuknya malahan kluar gjls pi,aplikasi sampah bolak balik bnerin sandi padahal udh ngikutin smua petunjuknya malahan kluar gjls pi,aplikasi sampah bolak balik bnerin sandi padahal sudah ngikutin smua petunjuknya malahan kluar gjls pi,0,0,0,0,"aplikasi sampah, bolak balik bnerin sandi padahal udh ngikutin smua petunjuknya, malahan kluar2 gjls pi||aplikasi sampah bolak balik bnerin sandi padahal sudah ngikutin smua petunjuknya malahan kluar gjls pi",negatif
bagus👍,5,2026-07-30 16:49:38,bagus,bagus,bagus,0,0,0,0,bagus👍||bagus,positif
sangat berguna untuk beli tiket kereta api,5,2026-07-30 14:23:58,sangat berguna untuk beli tiket kereta api,sangat berguna untuk beli tiket kereta api,sangat berguna untuk beli tiket kereta api,0,1,1,0,sangat berguna untuk beli tiket kereta api||sangat berguna untuk beli tiket kereta api,positif
"Hello bisa kasih penjelasan ga? kenapa saya tidak cek list perlindungan asuransi, tau tau pas bayar dikenakan biaya perlindungan asuransi.",1,2026-07-30 13:02:37,Hello bisa kasih penjelasan ga kenapa saya tidak cek list perlindungan asuransi tau tau pas bayar dikenakan biaya perlindungan asuransi,hello bisa kasih penjelasan ga kenapa saya tidak cek list perlindungan asuransi tau tau pas bayar dikenakan biaya perlindungan asuransi,hello bisa kasih penjelasan tidak kenapa saya tidak cek list perlindungan asuransi tau tau pas bayar dikenakan biaya perlindungan asuransi,0,1,0,0,"Hello bisa kasih penjelasan ga? kenapa saya tidak cek list perlindungan asuransi, tau tau pas bayar dikenakan biaya perlindungan asuransi.||hello bisa kasih penjelasan tidak kenapa saya tidak cek list perlindungan asuransi tau tau pas bayar dikenakan biaya perlindungan asuransi",negatif
sudah beli 100% refund tapi tetep di potong 25% kocak,1,2026-07-30 11:55:35,sudah beli refund tapi tetep di potong kocak,sudah beli refund tapi tetep di potong kocak,sudah beli refund tapi tetep di potong kocak,0,1,0,0,sudah beli 100% refund tapi tetep di potong 25% kocak||sudah beli refund tapi tetep di potong kocak,negatif
ok,5,2026-07-30 11:49:52,ok,ok,ok,0,0,0,0,ok||ok,netral
bagus dan sangat membantu,5,2026-07-30 10:41:42,bagus dan sangat membantu,bagus dan sangat membantu,bagus dan sangat membantu,0,0,0,0,bagus dan sangat membantu||bagus dan sangat membantu,positif
masih Bagus Versi 6.1.7.1 dan untuk Versi terbaru kurang bagus ribet....jd maaf jasih 1 aza,1,2026-07-30 10:41:39,masih Bagus Versi dan untuk Versi terbaru kurang bagus ribet jd maaf jasih aza,masih bagus versi dan untuk versi terbaru kurang bagus ribet jd maaf jasih aza,masih bagus versi dan untuk versi terbaru kurang bagus ribet jd maaf jasih aza,0,0,0,0,masih Bagus Versi 6.1.7.1 dan untuk Versi terbaru kurang bagus ribet....jd maaf jasih 1 aza||masih bagus versi dan untuk versi terbaru kurang bagus ribet jd maaf jasih aza,negatif
"aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error, selalu muncul tulisan ( no matching property id)",1,2026-07-30 10:19:37,aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error selalu muncul tulisan no matching property id,aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error selalu muncul tulisan no matching property id,aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error selalu muncul tulisan no matching property id,1,1,1,0,"aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error, selalu muncul tulisan ( no matching property id)||aplikasi sering error jadi susah buat pesan tiket kereta sekarang juga lagi error selalu muncul tulisan no matching property id",negatif
Mudah dioperasikan dan aman,5,2026-07-30 08:26:50,Mudah dioperasikan dan aman,mudah dioperasikan dan aman,mudah dioperasikan dan aman,0,0,0,0,Mudah dioperasikan dan aman||mudah dioperasikan dan aman,positif
kenapa saya gagal terus mau pesen tiket,1,2026-07-30 07:37:39,kenapa saya gagal terus mau pesen tiket,kenapa saya gagal terus mau pesen tiket,kenapa saya gagal terus mau pesen tiket,1,1,0,0,kenapa saya gagal terus mau pesen tiket||kenapa saya gagal terus mau pesen tiket,negatif
"aplikasi gak guna, mau pesan tiket aja sulit ny minta ampun.",1,2026-07-30 07:14:52,aplikasi gak guna mau pesan tiket aja sulit ny minta ampun,aplikasi gak guna mau pesan tiket aja sulit ny minta ampun,aplikasi tidak guna mau pesan tiket saja sulit ny minta ampun,0,1,0,0,"aplikasi gak guna, mau pesan tiket aja sulit ny minta ampun.||aplikasi tidak guna mau pesan tiket saja sulit ny minta ampun",negatif
ok baik,5,2026-07-30 06:54:17,ok baik,ok baik,ok baik,0,0,0,0,ok baik||ok baik,netral
sangat mudah dan cepat ternyata pakai aplikasi kai access,5,2026-07-30 06:25:48,sangat mudah dan cepat ternyata pakai aplikasi kai access,sangat mudah dan cepat ternyata pakai aplikasi kai access,sangat mudah dan cepat ternyata pakai aplikasi kai access,0,0,0,1,sangat mudah dan cepat ternyata pakai aplikasi kai access||sangat mudah dan cepat ternyata pakai aplikasi kai access,positif
ga bisa masuk,5,2026-07-30 03:15:34,ga bisa masuk,ga bisa masuk,tidak bisa masuk,1,0,0,0,ga bisa masuk||tidak bisa masuk,negatif
